id|title|starring|writer|editor|aggregate value
22791||Caroline Dhavernas|John Hazlett||Caroline Dhavernas John Hazlett
22792|My Girl 2|Daniel Edward Aykroyd|Laurice Elehwany||My Girl 2 Daniel Edward Aykroyd Laurice Elehwany
22793|Romeo Is Bleeding|Gary Leonard Oldman|Hilary Henkin||Romeo Is Bleeding Gary Leonard Oldman Hilary Henkin
22794||Gabriel Phillips|Phil Cunningham||Gabriel Phillips Phil Cunningham
22795|Deep Impact|Vanessa Redgrave|Michael Tolkin||Deep Impact Vanessa Redgrave Michael Tolkin
22796|Fatty's Chance Acquaintance|Roscoe Arbuckle|||Fatty's Chance Acquaintance Roscoe Arbuckle
22797|Target Earth|Louis Albert Heindrich Denninger Jr.|Paul W. Fairman   James H. Nicholson   Wyott Ordung   William Raynor||Target Earth Louis Albert Heindrich Denninger Jr. Paul W. Fairman   James H. Nicholson   Wyott Ordung   William Raynor
22798|Lajja|Madhuri Shankar Dixit|Rajkumar Santoshi||Lajja Madhuri Shankar Dixit Rajkumar Santoshi
22799||Mar?a Armand|Pierre Wolff||Mar?a Armand Pierre Wolff
22800|Fu00E1lkar|Ingvar E. Sigur?sson|Einar K?rason||Fu00E1lkar Ingvar E. Sigur?sson Einar K?rason
22801|Hells Angels on Wheels|John Joseph Nicholson|R. Wright Campbell||Hells Angels on Wheels John Joseph Nicholson R. Wright Campbell
22802|Una Noche con Sabrina Love|Cecilia Roth|Pedro Mairal||Una Noche con Sabrina Love Cecilia Roth Pedro Mairal
22803|From the Mixed-Up Files of Mrs. Basil E. Frankweiler|Jean Marie Barnwell|E. L. Konigsburg||From the Mixed-Up Files of Mrs. Basil E. Frankweiler Jean Marie Barnwell E. L. Konigsburg
22804|Crimes of the Heart|Sam Shepard|Beth Henley||Crimes of the Heart Sam Shepard Beth Henley
22805||Anic?e Alvina|Lewis Gilbert<BR>Vernon Harris<BR>Jack Russell||Anic?e Alvina Lewis Gilbert<BR>Vernon Harris<BR>Jack Russell
22806|Daddy-Long-Legs|Mahlon Hamilton|Agnes Christine Johnston||Daddy-Long-Legs Mahlon Hamilton Agnes Christine Johnston
22807|La ciu00E9naga|Mercedes Mor?n|Lucrecia Martel||La ciu00E9naga Mercedes Mor?n Lucrecia Martel
22808||Ali Haider|||Ali Haider
22809||Nassar|||Nassar
22810|Where the Day Takes You|Sean Patrick Duke|Marc Rocco||Where the Day Takes You Sean Patrick Duke Marc Rocco
22811||Angelina Jolie Voight|||Angelina Jolie Voight
22812|||Chris Chan Lee||Chris Chan Lee
22813||Nassar|Vikram||Nassar Vikram
22814|The Bridges at Toko-Ri|William Holden|James Michener||The Bridges at Toko-Ri William Holden James Michener
22815||Pamela Denise Anderson|Rolfe Kanefsky||Pamela Denise Anderson Rolfe Kanefsky
22816||Charles T. Aldrich Jr.|Al Lewis (director)||Charles T. Aldrich Jr. Al Lewis (director)
22817|Neo Pornographia: The Secret Tapes of Michael Ninn|Otto Bauer (actor)|||Neo Pornographia: The Secret Tapes of Michael Ninn Otto Bauer (actor)
22818|Cobra Verde|Jos? Lewgoy|Bruce Chatwin||Cobra Verde Jos? Lewgoy Bruce Chatwin
22819|Fantasia 2000|Chicago Symphony Orchestra|Fantasia 2000#Credits||Fantasia 2000 Chicago Symphony Orchestra Fantasia 2000#Credits
22820|Mephisto|Krystyna Janda|Klaus Mann||Mephisto Krystyna Janda Klaus Mann
22821|Tropic Thunder|Benjamin Edward Stiller|Etan Cohen||Tropic Thunder Benjamin Edward Stiller Etan Cohen
22822|Polly of the Circus||Margaret Mayo (playwright)||Polly of the Circus  Margaret Mayo (playwright)
22823||Vijay (actor)|Surendra Reddy & Ramana||Vijay (actor) Surendra Reddy & Ramana
22824||Henry Czerny|Des Walsh||Henry Czerny Des Walsh
22825||Urvashi|Dennis Joseph||Urvashi Dennis Joseph
22826|The Docks of New York|George Bancroft (actor)|Jules Furthman||The Docks of New York George Bancroft (actor) Jules Furthman
22827|Mr. and Mrs. Iyer|Konkona Sen Sharma|Aparna Sen||Mr. and Mrs. Iyer Konkona Sen Sharma Aparna Sen
22828||Sam Prideaux Robards|Kevin Reynolds (director)||Sam Prideaux Robards Kevin Reynolds (director)
22829|Universal Soldier|George Robert Lazenby|||Universal Soldier George Robert Lazenby
22830|||Shauna Garr||Shauna Garr
22831||Urmila Matondkar|Onir||Urmila Matondkar Onir
22832|Modesty Blaise|Terence Stamp|Evan Jones||Modesty Blaise Terence Stamp Evan Jones
22833|Balked at the Altar|Mabel Stoughton|D.W. Griffith||Balked at the Altar Mabel Stoughton D.W. Griffith
22834||Archibald Alec Leach|Lenore J. Coffee||Archibald Alec Leach Lenore J. Coffee
22835||Noriko Ohara|||Noriko Ohara
22836||Joan Geraldine Bennett|Paul Armstrong Jr.||Joan Geraldine Bennett Paul Armstrong Jr.
22837||Ethel Waters|||Ethel Waters
22838|Gimme Shelter|The Rolling Stones|||Gimme Shelter The Rolling Stones
22839|Agnes and His Brothers|Moritz Bleibtreu|Oskar Roehler||Agnes and His Brothers Moritz Bleibtreu Oskar Roehler
22840|The Bedford Incident|Sidney Poitier|Mark Rascovich||The Bedford Incident Sidney Poitier Mark Rascovich
22841|The Real Cancun||Brian Caldirola||The Real Cancun  Brian Caldirola
22842|The Children Pay|Lillian Diana Gish|Corinne Anita Loos||The Children Pay Lillian Diana Gish Corinne Anita Loos
22843||Amjad Khan|||Amjad Khan
22844||Lekha Washington|Kannan||Lekha Washington Kannan
22845||Josef Dahmen|unknown||Josef Dahmen unknown
22846|Half a Man|Arthur Stanley Jefferson|Tay Garnett||Half a Man Arthur Stanley Jefferson Tay Garnett
22847|Desperate Measures|Andy Garcia|David Klass||Desperate Measures Andy Garcia David Klass
22848|You Were Never Lovelier|Isobel Elsom|Delmer Daves||You Were Never Lovelier Isobel Elsom Delmer Daves
22849|Night and the City|Jessica Phyllis Lange|Richard Price (writer)||Night and the City Jessica Phyllis Lange Richard Price (writer)
22850|Free Zone|Hanna Laslo|Amos Weinraub||Free Zone Hanna Laslo Amos Weinraub
22851||Nobuyasu Sakai|Mamoru Oshii||Nobuyasu Sakai Mamoru Oshii
22852||Daniel Grimaldi|Ellen Hammill||Daniel Grimaldi Ellen Hammill
22853|Little Vera|Natalya Negoda Andrei Sokolov Yuri Nazarov Lyudmila Zajtseva|Mariya Khmelik||Little Vera Natalya Negoda Andrei Sokolov Yuri Nazarov Lyudmila Zajtseva Mariya Khmelik
22854||Johnny Burton|Mike Costanza||Johnny Burton Mike Costanza
22855|Rainbow Valley|Marion Robert Morrison|Lindsley Parsons||Rainbow Valley Marion Robert Morrison Lindsley Parsons
22856||Laura La Plant|Robert F. Hill||Laura La Plant Robert F. Hill
22857||Reena Roy|||Reena Roy
22858|Two-Time Mama|Oliver Hardy|||Two-Time Mama Oliver Hardy
22859|Bitter Moon|Hugh John Mungo Grant|G?rard Brach||Bitter Moon Hugh John Mungo Grant G?rard Brach
22860|Northern Pursuit|Errol Leslie Thomson Flynn|||Northern Pursuit Errol Leslie Thomson Flynn
22861|Les Misu00E9rables in Concert|Colm Wilkinson|Herbert Kretzmer||Les Misu00E9rables in Concert Colm Wilkinson Herbert Kretzmer
22862||Ibsen Dana Elcar|Gordon Roger Alexander Buchannan Parks||Ibsen Dana Elcar Gordon Roger Alexander Buchannan Parks
22863|Mad Max|Joanne Samuel|Byron Kennedy||Mad Max Joanne Samuel Byron Kennedy
22864|||Ilona Lepkowska||Ilona Lepkowska
22865|Un Borghese piccolo piccolo|Vincenzo Crocitti|Vincenzo Cerami||Un Borghese piccolo piccolo Vincenzo Crocitti Vincenzo Cerami
22866|Sic 'Em, Towser|Harold Lloyd|||Sic 'Em, Towser Harold Lloyd
22867||Miguel A. Nunez Jr|Bradley Allenstein||Miguel A. Nunez Jr Bradley Allenstein
22868||Mar?a Kosti|Amando de Ossorio||Mar?a Kosti Amando de Ossorio
22869||Roy Dotrice|Danny Bilson||Roy Dotrice Danny Bilson
22870||Jimmy Ritz|Ralph Spence||Jimmy Ritz Ralph Spence
22871||Semyon Svashenko|Alexander Dovzhenko||Semyon Svashenko Alexander Dovzhenko
22872|||Louis Golding||Louis Golding
22873||Laura Augusta Gainor|Dana Burnett||Laura Augusta Gainor Dana Burnett
22874|Cambodge, entre guerre et paix||||Cambodge, entre guerre et paix
22875||Demian Bichir|Benicio Del Toro||Demian Bichir Benicio Del Toro
22876||Jir? Chiba|Norifumi Suzuki||Jir? Chiba Norifumi Suzuki
22877||Mouneissa Maiga|Cheick Oumar Sissoko||Mouneissa Maiga Cheick Oumar Sissoko
22878|Out to Sea|Walter John Matthow|Robert Nelson Jacobs||Out to Sea Walter John Matthow Robert Nelson Jacobs
22879|Werewolf|Jorge Rivero|Tony Zarindast||Werewolf Jorge Rivero Tony Zarindast
22880|Ringu 2|Yasutaka Tsutsui|Hiroshi Takahashi||Ringu 2 Yasutaka Tsutsui Hiroshi Takahashi
22881|Felicity|Glory Annen|John D. Lamond||Felicity Glory Annen John D. Lamond
22882|Dexter's Laboratory: Ego Trip|Jeffrey Glenn Bennett|Paul Rudish||Dexter's Laboratory: Ego Trip Jeffrey Glenn Bennett Paul Rudish
22883|The Wilby Conspiracy|Nicol Williamson|Rodney Amateau||The Wilby Conspiracy Nicol Williamson Rodney Amateau
22884|Wishmaster 3|Jason Connery|Alex Wright   Peter Atkins (characters)||Wishmaster 3 Jason Connery Alex Wright   Peter Atkins (characters)
22885|Bekhal's Tears|Ozzie Aziz,  Aware Xan|Lauand Omar||Bekhal's Tears Ozzie Aziz,  Aware Xan Lauand Omar
22886|Hellboy|Ronald Francis Perlman|Peter Briggs||Hellboy Ronald Francis Perlman Peter Briggs
22887||Tse Ting-Fung (u8B1Du9706u92D2)|Vincent Kok Chi-kin Kwok Kam-Yuen Szeto Wilson Yip||Tse Ting-Fung (u8B1Du9706u92D2) Vincent Kok Chi-kin Kwok Kam-Yuen Szeto Wilson Yip
22888||Silvio Orlando|||Silvio Orlando
22889||Joan Miller|Broose Johnson||Joan Miller Broose Johnson
22890||Roy Fegan|Keenen Ivory Wayans||Roy Fegan Keenen Ivory Wayans
22891|The Essential Mystery: The Major Filmmakers of Indian Art Cinema|Kali Banerjee|Ritwik Ghatak||The Essential Mystery: The Major Filmmakers of Indian Art Cinema Kali Banerjee Ritwik Ghatak
22892|Bolivia|Freddy Flores|Screenplay: Israel Adriu00E1n Caetano  Story: Romina Lafranchini||Bolivia Freddy Flores Screenplay: Israel Adriu00E1n Caetano  Story: Romina Lafranchini
22893|The Theme of Spiritual Pollution in Chinese Films of the 1930s|Yuan Muzhi|Xia Yan||The Theme of Spiritual Pollution in Chinese Films of the 1930s Yuan Muzhi Xia Yan
22894||Christopher Adamson|Graeme Scarfe||Christopher Adamson Graeme Scarfe
22895||Brahmanandam|S. V. Krishna Reddy||Brahmanandam S. V. Krishna Reddy
22896|Twentieth Century|Jane Alice Peters|Charles MacArthur||Twentieth Century Jane Alice Peters Charles MacArthur
22897||Joan Rice|Lawrence Klingman||Joan Rice Lawrence Klingman
22898|You Can Count on Me|Laura Linney|Kenneth Lonergan||You Can Count on Me Laura Linney Kenneth Lonergan
22899||Claude Brasseur|Henry Farrell||Claude Brasseur Henry Farrell
22900||B Sarojadevi|||B Sarojadevi
22901||Hanns Ludin|Malte Ludin||Hanns Ludin Malte Ludin
22902|View Askewniverse|Jason Lee (actor)|Kevin Patrick Smith||View Askewniverse Jason Lee (actor) Kevin Patrick Smith
22903|The Perfect Man|Hilary Duff|Gina Wendkos||The Perfect Man Hilary Duff Gina Wendkos
22904|Daisy Kenyon|Henry Jaynes Fonda|Elizabeth Janeway||Daisy Kenyon Henry Jaynes Fonda Elizabeth Janeway
22905|Slackers|Devon Edward Sawa|David H. Steinberg||Slackers Devon Edward Sawa David H. Steinberg
22906|Les Gens d'Angkor||Rithy Panh||Les Gens d'Angkor  Rithy Panh
22907|Do the Right Thing|Raiford Chatman Davis|Shelton Jackson Lee||Do the Right Thing Raiford Chatman Davis Shelton Jackson Lee
22908|The Subject was Roses|Ramu00F3n Gerardo Antonio Estu00E9vez|Frank D. Gilroy||The Subject was Roses Ramu00F3n Gerardo Antonio Estu00E9vez Frank D. Gilroy
22909||Jewel and Blaire Restaneo|Thomas Callicoat|Ted E. Perro|Jewel and Blaire Restaneo Thomas Callicoat Ted E. Perro
22910||Peter Riegert|Wallace Wolodarsky||Peter Riegert Wallace Wolodarsky
22911||William Davis Garwood Jr.|||William Davis Garwood Jr.
22912||Ranjeet|Kumar Ramsay||Ranjeet Kumar Ramsay
22913|The Beastmaster|Victoria Leigh Blum|Paul Pepperman||The Beastmaster Victoria Leigh Blum Paul Pepperman
22914|Vindication|Keith Frasier|Bart Mastronardi||Vindication Keith Frasier  Bart Mastronardi
22915|Stalin|Trisha Krishnamurthy|Paruchuri Brothers||Stalin Trisha Krishnamurthy Paruchuri Brothers
22916||Gloria Frances Stewart|||Gloria Frances Stewart
22917|El amor, el deber y el crimen|Mara Meva|Vincenzo di Dom?nico||El amor, el deber y el crimen Mara Meva Vincenzo di Dom?nico
22918|Dead Men Walk|Mary Carlisle|Fred Myton||Dead Men Walk Mary Carlisle Fred Myton
22919|Sitting Pretty|Lewis Delaney Offield|Jack McGowan||Sitting Pretty Lewis Delaney Offield Jack McGowan
22920|Stowaway in the Sky||Albert Lamorisse||Stowaway in the Sky  Albert Lamorisse
22921||Amy Madigan|Davida Wills Hurwin||Amy Madigan Davida Wills Hurwin
22922||Alonna Shaw|Greg Latter||Alonna Shaw Greg Latter
22923|||Abbas Kiarostami||Abbas Kiarostami
22924|Rogue Trader|Ewan McGregor|Nick Leeson||Rogue Trader Ewan McGregor Nick Leeson
22925||Jobyna Lancaster Raulston|Jo Swerling||Jobyna Lancaster Raulston Jo Swerling
22926|Deadly||||Deadly
22927|Lady and the Tramp II:  Scamp's Adventure|Roger Bart|Bill Motz||Lady and the Tramp II:  Scamp's Adventure Roger Bart Bill Motz
22928|||Marjorie Kellogg||Marjorie Kellogg
22929|Bushwhacked|Brad Sullivan|John Jordan Danny Byers Tommy Swerdlow Michael Goldberg||Bushwhacked Brad Sullivan John Jordan Danny Byers Tommy Swerdlow Michael Goldberg
22930|Easy Street|Edna Purviance|Vincent Bryan||Easy Street Edna Purviance Vincent Bryan
22931||Elisabeth Fraser|Joseph Fields Martin Melcher||Elisabeth Fraser Joseph Fields Martin Melcher
22932||J.C. Quinn|Edward Bunker||J.C. Quinn Edward Bunker
22933||Andrew Miller|Richard Nielsen||Andrew Miller Richard Nielsen
22934|There's Something Out There|Patti Tindall|Brian Pulido||There's Something Out There Patti Tindall Brian Pulido
22935|Sex and Zen|Amy Yip|||Sex and Zen Amy Yip
22936|Twice Upon a Time|James Cranna|John Korty||Twice Upon a Time James Cranna John Korty
22937|Winter Passing|Edward Allen Harris|Adam Rapp||Winter Passing Edward Allen Harris Adam Rapp
22938||Katharine Hepburn|Victor Heerman||Katharine Hepburn Victor Heerman
22939||Wallace Fitzgerald Beery|Winifred Dunn H.H. Van Loan (story)||Wallace Fitzgerald Beery Winifred Dunn H.H. Van Loan (story)
22940|Bob & Carol & Ted & Alice|Natalia Nikolaevna Zakharenko|Paul Mazursky Larry Tucker||Bob & Carol & Ted & Alice Natalia Nikolaevna Zakharenko Paul Mazursky Larry Tucker
22941|Ed|Matthew Steven LeBlanc|David M. Evans||Ed Matthew Steven LeBlanc David M. Evans
22942|||Vasili Ama?ukeli||Vasili Ama?ukeli
22943||David Lander|Tony Hendra||David Lander Tony Hendra
22944|After the Fox|Paolo Stoppa|Cesare Zavattini||After the Fox Paolo Stoppa Cesare Zavattini
22945|Giving Them Fits|Harold Lloyd|Dolly Twist||Giving Them Fits Harold Lloyd Dolly Twist
22946|A Good Woman|Scarlett Johansson|Howard Himelstein||A Good Woman Scarlett Johansson Howard Himelstein
22947||Florence Annie Bridgwood|Walter MacNamara||Florence Annie Bridgwood Walter MacNamara
22948|Sympathy for the Underdog|Koji Tsuruta|Hir? Matsuda||Sympathy for the Underdog Koji Tsuruta Hir? Matsuda
22949||Mel Blanc|Michael Maltese||Mel Blanc Michael Maltese
22950|Citizen Kane|Everett Sloane|Herman J. Mankiewicz||Citizen Kane Everett Sloane Herman J. Mankiewicz
22951|Man of the House|Tommy Lee Jones|John J. McLaughlin & Scott Lobdell||Man of the House Tommy Lee Jones John J. McLaughlin & Scott Lobdell
22952||B?r?nice Bejo|Jean-Fran?ois Halin||B?r?nice Bejo Jean-Fran?ois Halin
22953||Karthik Muthuraman|||Karthik Muthuraman
22954|Serial (film)||||Serial (film)
22955||Walter Houghston|C.H. Towne||Walter Houghston C.H. Towne
22956|Day of the Woman|Anthony Nichols|Meir Zarchi||Day of the Woman Anthony Nichols Meir Zarchi
22957|A Fistful of Dollars|Marianne Koch|Sergio Leone||A Fistful of Dollars Marianne Koch Sergio Leone
22958||James Francis Cagney Jr.|Charles Kenyon||James Francis Cagney Jr. Charles Kenyon
22959||Paul Mooney|||Paul Mooney
22960|Chaos|Jason Statham|Tony Giglio||Chaos Jason Statham Tony Giglio
22961|Dakota|Marion Robert Morrison|Howard Estabrook||Dakota Marion Robert Morrison Howard Estabrook
22962|A Fine Madness|Thomas Sean Connery|Elliott Baker||A Fine Madness Thomas Sean Connery Elliott Baker
22963|The White Tower|Gwyllyn Samuel Newton Ford|James Ramsey Ullman||The White Tower Gwyllyn Samuel Newton Ford James Ramsey Ullman
22964|Casi casi|Maite Cant?|Jaime Vall?s||Casi casi Maite Cant? Jaime Vall?s
22965||Karin Booth|Carl Dudley<BR>Philip MacDonald||Karin Booth Carl Dudley<BR>Philip MacDonald
22966|Sleepers|William Bradley Pitt|Lorenzo Carcaterra||Sleepers William Bradley Pitt Lorenzo Carcaterra
22967||Girish Karnad|Nagesh Kukunoor||Girish Karnad Nagesh Kukunoor
22968||Bonnie Bonnell|Clarence Ernst Nash||Bonnie Bonnell Clarence Ernst Nash
22969|The Jewel of the Nile|Michael Kirk Douglas|Mark Rosenthal Lawrence Konner||The Jewel of the Nile Michael Kirk Douglas Mark Rosenthal Lawrence Konner
22970|Happy|Allu Arjun|A. Karunakaran||Happy Allu Arjun A. Karunakaran
22971||Yusuf Khan|Wajahad Mirza||Yusuf Khan Wajahad Mirza
22972|Combat Academy|George Timothy Clooney|Paul W. Shapiro||Combat Academy George Timothy Clooney Paul W. Shapiro
22973|Eastern Promises|Viggo Peter Mortensen Jr.|Steve Knight||Eastern Promises Viggo Peter Mortensen Jr. Steve Knight
22974|Video Demons Do Psychotown|Ron Arragon Donna Baltran Dave Elliott Pam Martin Myra Taylor|Alessandro De Gaetano||Video Demons Do Psychotown Ron Arragon Donna Baltran Dave Elliott Pam Martin Myra Taylor Alessandro De Gaetano
22975|The Nightmare Before Christmas|Christopher Sarandon|Daniel Robert Elfman||The Nightmare Before Christmas Christopher Sarandon Daniel Robert Elfman
22976|||S. Sebastian Shock||S. Sebastian Shock
22977|Dil Hai Ke Manta Nahin|Pooja Bhatt|Robin Bhatt||Dil Hai Ke Manta Nahin Pooja Bhatt Robin Bhatt
22978|Deranged|Roberts Blossom|Alan Ormsby||Deranged Roberts Blossom Alan Ormsby
22979||William Gargan|Hal Burdick (radio program) Scott Littleton (story Inside Story) Hal Smith||William Gargan Hal Burdick (radio program) Scott Littleton (story Inside Story) Hal Smith
22980|Azaad|Yusuf Khan|||Azaad Yusuf Khan
22981|Yahaan|Jimmy Shergill|||Yahaan Jimmy Shergill
22982|Letters from a Killer|Tina Lifford|John Foster Nicholas Hicks-Beach Shelley Miller||Letters from a Killer Tina Lifford John Foster Nicholas Hicks-Beach Shelley Miller
22983|Garasu no nou|Risa Goto|Osamu Tezuka||Garasu no nou Risa Goto Osamu Tezuka
22984|Rites of Passage|Robert Dean Stockwell|Victor Salva||Rites of Passage Robert Dean Stockwell Victor Salva
22985|Meet Joe Black|Claire Forlani|Bo Goldman||Meet Joe Black Claire Forlani Bo Goldman
22986||Jesse Ventura|Dennis Hackin||Jesse Ventura Dennis Hackin
22987|Samson|Serge Merlin|Kazimierz Brandys||Samson Serge Merlin Kazimierz Brandys
22988|Black Bart||William Bowers||Black Bart  William Bowers
22989|The Night Train to Kathmandu|Pernell Elvin Roberts|Robert Wiemer||The Night Train to Kathmandu Pernell Elvin Roberts Robert Wiemer
22990|Tracks|Taryn Power|Henry Jaglom||Tracks Taryn Power Henry Jaglom
22991||Mami Koyama|Chiho Katsura||Mami Koyama Chiho Katsura
22992|Sommarlek|Birger Malmsten|Herbert Grevenius||Sommarlek Birger Malmsten Herbert Grevenius
22993|Roosevelt in Africa|Theodore Roosevelt|||Roosevelt in Africa Theodore Roosevelt
22994|Naksha|Vivek Anand Oberoi|Milap Zaveri, Tushar Hiranandani||Naksha Vivek Anand Oberoi Milap Zaveri, Tushar Hiranandani
22995||Yannis Aggelakis Myriam Vourou Christos Mantakas Gregory Patrikareas Eugene Dimitriou Themis Bazaka Roubini Vasilakopoulou Jenny Balatsinou Dorothea Mercouri|<http://www.imdb.com>||Yannis Aggelakis Myriam Vourou Christos Mantakas Gregory Patrikareas Eugene Dimitriou Themis Bazaka Roubini Vasilakopoulou Jenny Balatsinou Dorothea Mercouri <http://www.imdb.com>
22996|Berlin International Film Festival|Mikhail Ulyanov|Aleksandr Chervinsky||Berlin International Film Festival Mikhail Ulyanov Aleksandr Chervinsky
22997||Saima|Syed Noor||Saima Syed Noor
22998||William Davis Garwood Jr.|||William Davis Garwood Jr.
22999|Fah talai jone|Stella Malucchi|Wisit Sasanatieng||Fah talai jone Stella Malucchi Wisit Sasanatieng
23000|Legends of the Fall|Philip Anthony Hopkins|Susan Shilliday||Legends of the Fall Philip Anthony Hopkins Susan Shilliday
23001|The Delicate Art of Parking|Richard Side|Blake Corbet||The Delicate Art of Parking Richard Side Blake Corbet
23002|||Ardwight Chamberlain||Ardwight Chamberlain
